Ref Part,Quantity,Mouser Part #,Manufacturer Part #,Manufacturer,Description
IC1,1,556-ATSAME54N20AAUT,ATSAME54N20A-AUT,Microchip,ARM Microcontrollers - MCU 120MHZ 1024KB FLASH 100 TQFP PKG IN 85C
U1,1,700-MAX20034ATIR/VY+,MAX20034ATIR/VY+,Maxim Integrated,"2.2MHz, 36V, Dual Buck Controller with 17Î¼A Quiescent Current"
OSC1,1,581-CX3225CA12DKPSC1,CX3225CA12000D0KPSC1.,Kyocera,Crystals 12MHz 8pF 3.2x2.5x0.8mm
J1,1,490-PJ-070BH-SMT-TR,PJ-070BH-SMT-TR,CUI Devices,"DC Power Connectors power jack, 2.5 x 5.5 mm, vertical, SMT, high current, 1 switch, T&R package"
SD_CARD_CONN,1,523-GSD09002SEU,GSD09002SEU,Amphenol,"Memory Card Connectors SD, 9 pos, 15U"
"RESET_BTN, START_BTN",2,612-LL3301BF065QJ,LL3301BF065QJ,E-Switch,Pushbutton Switches 50mA 12VDC F065 9.5mm J-Lead
"C5,C6,C7,C8,C10,C11,C15,C16",8,80-C0603C104K5R,C0603C104K5RACTU,KEMET Corporation,Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 125Â°C T/R
"C1,C4",2,80-C0603C472J5R,C0603C472J5RACTU,KEMET Corporation,Cap Ceramic 4.7nF 50V X7R 5% Pad SMD 0603 125Â°C T/R
"C2,C3",2,581-04025A4R7JAT2A,04025A4R7JAT2A,AVX,Cap Ceramic 4.7pF 50V C0G 5% Pad SMD 0402 125Â°C T/R
C9,1,81-GRM188R61E106KA3D,GRM188R61E106KA73D,Murata Electronics,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10UF 25V 10% 0603
"C12,C13",2,81-GRM1885C1H8R0CA1D,GRM1885C1H8R0CA01D,Murata Electronics,Multilayer Ceramic Capacitors MLCC - SMD/SMT 8pF 0603
C14,1,81-GRM188R61C475KAJD,GRM188R61C475KAAJD,Murata Electronics,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 4.7uF 16volts *Derate Voltage/Temp
CBIAS,1,80-C1206C685K4R,C1206C685K4RACTU,KEMET Corporation,Cap Ceramic 6.8uF 16V X7R 10% Pad SMD 1206 125Â°C T/R
"COUT1, CIN",5,810-C4532X7R1C336M,C4532X7R1C336M250KC,TDK,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1812 16V 33uF X7R 20% T: 2.5mm
COUT2,2,81-GRM31CR71A226ME5L,GRM31CR71A226ME15L,Murata Manufacturing,Cap 22uF 10V X7R 1206 20% 3.2mOhm 0.72nH Active
"D1,D2",2,863-MBRS140T3G,MBRS140T3G,ON Semiconductor,Rectifier Diode Schottky Si 40V 1A 2-Pin SMB T/R
LED_STATUS,1,710-155060VS75300,155060VS75300,Wurth Elektronik,Standard LEDs - SMD WL-SMSW Wtrclr SdVw Grn 2V 20mA 572nm
"LED_RX,LED_TX",2,710-155060AS75300,155060VS75301,Wurth Elektronik,Standard LEDs - SMD WL-SMSW Wtrclr SdVw Amber 2V 20mA 610nm
L1,1,652-SRP1238A-3R3M,SRP1238A-3R3M,Bourns,Fixed Inductors 3.3uH 20% SMD 1238 AEC-Q200
L2,1,994-MSS1260-682MLB,MSS1260-682MLB,Coilcraft,Inductor 6.8 uH 20% 18.5mOhm max 3.8Arms @20C 5.9Arms @40C 7.4Asat @-10% 8.26Asat @-20% 8.8Asat @-30% 6.2mmHt 151.29mm^2 MSS1260 Active
"M1,M2,M3,M4",4,863-NVMFS5C468NLFT1G,NVMFS5C468NLAFT1G,On Semi,MOSFET T6 40V NCH LL IN SO8FL
R1,1,667-ERJ-2RKF1022X,ERJ-2RKF1022X,Panasonic,Res Thick Film 0402 10.2K Ohm 1% 0.1W(1/10W) Â±100ppm/Â°C Pad SMD Automotive T/R
